Entity,Code,Year,plugin_hybrid_share,battery_electric_share,petrol_share,diesel_gas_share,full_mild_hybrid_share
Italy,ITA,2018,0.241664858,0.260342755,44.26348565,51.39343373,3.841073009
Italy,ITA,2019,0.337239119,0.555101099,53.14713068,41.02428179,4.936247307
Luxembourg,LUX,2001,0,0,41.54156241,58.44917061,0.009266982
Luxembourg,LUX,2002,0,0,38.18256748,61.81743252,0
Luxembourg,LUX,2003,0,0,34.16651435,65.83348565,0
Luxembourg,LUX,2004,0,0,27.51962876,72.45136832,0.029002921
Luxembourg,LUX,2005,0,0,24.51511841,75.37564153,0.10924006
Luxembourg,LUX,2006,0,0,22.50722899,77.31770167,0.175069339
Luxembourg,LUX,2007,0,0,22.28044884,77.47798644,0.241564716
Luxembourg,LUX,2008,0,0.001909891,22.71051777,77.00108864,0.286483699
Luxembourg,LUX,2009,0,0,26.77245319,72.95673331,0.270813498
Luxembourg,LUX,2010,0,0.00201102,24.27100511,75.23428388,0.492699996
Luxembourg,LUX,2011,0,0.062147912,22.78021692,76.59028488,0.567350294
Luxembourg,LUX,2012,0,0.196436367,22.48700345,76.12008413,1.196476051
Luxembourg,LUX,2013,0,0.403225806,25.45470144,73.43642759,0.705645161
Luxembourg,LUX,2014,0.120498865,0.729018135,26.33904364,71.99003876,0.821400598
Luxembourg,LUX,2015,0.243151938,0.157080455,27.96892819,70.81531212,0.815527295
Luxembourg,LUX,2016,0.397539606,0.286782303,33.37157097,64.81082257,1.133284547
Luxembourg,LUX,2017,1.280909522,0.731406916,42.5182378,53.95926101,1.510184747
Luxembourg,LUX,2018,1.21675582,0.813681911,49.00738341,47.12762751,1.834551345
Luxembourg,LUX,2019,1.590543496,1.78213169,49.5201258,43.56281743,3.544381586
Netherlands,NLD,2001,0,0.002451637,77.05532024,22.86999913,0.07222899
Netherlands,NLD,2002,0,0.002741384,78.41845656,21.56646583,0.012336227
Netherlands,NLD,2003,0,0,77.34706239,22.64904972,0.003887898
Netherlands,NLD,2004,0,0,75.10076807,24.65569184,0.243540084
Netherlands,NLD,2005,0,0.000430409,72.60079109,26.76758329,0.631195204
Netherlands,NLD,2006,0,0.000207133,72.44174895,26.90619556,0.651848354
Netherlands,NLD,2007,0,0.000397367,70.768488,28.49737638,0.73373825
Netherlands,NLD,2008,0,0,72.33925892,25.2845468,2.376194273
Netherlands,NLD,2009,0,0.005721478,75.55706395,20.20488094,4.232333635
Netherlands,NLD,2010,0,0.025049322,76.21556495,20.42616971,3.333216022
Netherlands,NLD,2011,0,0.157758214,68.92181165,28.24249794,2.677932198
Netherlands,NLD,2012,0,0.761927883,66.25011691,28.50732577,4.480629441
Netherlands,NLD,2013,0,5.426785988,64.05051028,24.84389388,5.678809853
Netherlands,NLD,2014,3.057104106,0.871542837,65.22956645,27.10317726,3.738609348
Netherlands,NLD,2015,8.914692697,0.780745732,57.71682715,29.26448093,3.32325349
Netherlands,NLD,2016,4.925162075,0.982848884,72.17999574,19.04948817,2.862505134
Netherlands,NLD,2017,0.391326708,1.803308098,75.8881992,17.68887613,4.228289859
Netherlands,NLD,2018,0.740874349,5.375735576,76.22618538,12.8685771,4.788627601
Netherlands,NLD,2019,1.191399508,13.91034579,71.11747222,7.570038152,6.210744339
Norway,NOR,2013,0,5.78750765,34.99236727,52.5413117,6.678813375
Norway,NOR,2014,1.154678354,12.56068129,30.6721407,48.66709201,6.94540764
Norway,NOR,2015,5.297178201,17.11396034,29.6361923,40.81919779,7.133471371
Norway,NOR,2016,13.81694696,15.23285899,28.84282018,30.80142303,11.30595084
Norway,NOR,2017,19.69542251,18.93082712,25.54366325,23.14019893,12.68988818
Norway,NOR,2018,17.81061769,31.19393198,22.64150943,17.69028481,10.66365609
Norway,NOR,2019,13.55316758,42.38305942,15.67987077,16.03315072,12.35075151
Portugal,PRT,2001,0,0.001567306,71.48952844,28.50341869,0.005485571
Portugal,PRT,2002,0,0,65.32606196,34.67128426,0.002653787
Portugal,PRT,2003,0,0.000526893,55.18567695,44.76005311,0.053743045
Portugal,PRT,2004,0,0,43.15227954,56.60934084,0.238379626
Portugal,PRT,2005,0,0,35.84179226,63.7906319,0.36757584
Portugal,PRT,2006,0,0,34.51847819,65.10610325,0.375418558
Portugal,PRT,2007,0,0,29.74243866,69.30917271,0.948388631
Portugal,PRT,2008,0,0,29.93476244,69.27226372,0.792973839
Portugal,PRT,2009,0,0,32.76696766,66.5177212,0.715311139
Portugal,PRT,2010,0,0.008056323,32.65898929,66.66741262,0.665541765
Portugal,PRT,2011,0,0.13356267,29.49715283,69.73274435,0.63654014
Portugal,PRT,2012,0,0.086035946,28.34149975,70.54527904,1.027185261
Portugal,PRT,2013,0,0.198260968,26.49144173,72.30671916,1.003578138
Portugal,PRT,2014,0.059512974,0.142831137,27.0531976,71.39526417,1.349194124
Portugal,PRT,2015,0.305877212,0.347333098,29.53507784,68.15515706,1.656554792
Portugal,PRT,2016,0.546954131,0.342931558,32.37158154,65.19365263,1.544880143
Portugal,PRT,2017,1.089564939,0.738382852,34.71930196,61.34025492,2.112495329
Portugal,PRT,2018,1.635373828,1.783845099,39.49292024,53.90996247,3.177898365
Portugal,PRT,2019,2.590717564,3.075527594,49.50290216,40.34513112,4.485721563
Spain,ESP,2001,0,0,46.59852338,53.40014872,0.001327898
Spain,ESP,2002,0,0.000213434,41.66772791,58.33106264,0.000996024
Spain,ESP,2003,0,0,38.40076893,61.59234131,0.006889768
Spain,ESP,2004,0,0,33.8985914,66.06917001,0.032238583
Spain,ESP,2005,0,0,30.97527452,68.95021133,0.074514157
Spain,ESP,2006,0,0,29.86945767,69.99673904,0.133803287
Spain,ESP,2007,0,0,28.89676458,70.94606561,0.157169804
Spain,ESP,2008,0,0,30.31288969,69.35055495,0.336555354
Spain,ESP,2009,0,0.000104919,29.34406725,70.15515425,0.50067358
Spain,ESP,2010,0,0.0070273,28.6070161,70.66061708,0.725339526
Spain,ESP,2011,0,0.046655067,28.43298377,70.32911004,1.191251123
Spain,ESP,2012,0,0.069183478,29.56979026,68.9334738,1.427552463
Spain,ESP,2013,0,0.116091949,31.09493111,67.37719367,1.411783264
Spain,ESP,2014,0.034373582,0.125802635,32.31093361,66.12085939,1.408030791
Spain,ESP,2015,0.084700531,0.12975812,35.12915864,62.87825169,1.778131019
Spain,ESP,2016,0.14733999,0.164515125,40.18510785,56.81194622,2.691090813
Spain,ESP,2017,0.289489858,0.293457691,46.65629092,48.30407529,4.456686244
Spain,ESP,2018,0.40713223,0.452840012,57.70645312,35.78518251,5.64839213
Spain,ESP,2019,0.564498916,0.76327647,58.17830273,32.97352884,7.520393037
Sweden,SWE,2001,0,0.000811093,94.37426241,5.532056403,0.092870091
Sweden,SWE,2002,0,0.00039279,92.96159693,6.9904827,0.047527584
Sweden,SWE,2003,0,0.000382894,92.22763804,7.737901512,0.034077551
Sweden,SWE,2004,0,0,87.65984994,12.06152472,0.278625347
Sweden,SWE,2005,0,0.000365054,82.61028284,16.67859177,0.710760335
Sweden,SWE,2006,0,0,70.10779715,28.86768741,1.024515444
Sweden,SWE,2007,0,0,52.13384477,46.75916102,1.106994206
Sweden,SWE,2008,0,0,40.70919137,57.65527345,1.635535182
Sweden,SWE,2009,0,0.009894972,39.44701243,59.10219621,1.44089639
Sweden,SWE,2010,0,0.003116419,35.58812021,63.15250023,1.256263137
Sweden,SWE,2011,0,0.060003344,32.38573953,66.60108924,0.953167881
