Segment,Modellreihe,Insgesamt,,,,,,Gasoline,,,,,Diesel,,,,,,"Erdgas 
(CNG)
(einschl. bivalent)","Flüssiggas 
(LPG)
(einschl. bivalent)",Hybrid,,"Elektro
(BEV)",Other
,,Anzahl,"CO2-Emission
in g/km","Leermasse
in kg","CO2-Emission
je 1 000kg","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB","Partikelmasse
in mg/km",,,Insgesamt,of which: Plug-in,,
,HYUNDAI G70,119,195,1896,102.9,12.7,69,40,214.6,9.2,15.3,69,79,185.4,7,11.3,69,0.3,-,-,-,-,-,-
,HYUNDAI IONIQ6,2462,0,2072,0,0,65.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2462,-
,JAGUAR XE,77,168.9,1762,95.9,17.5,67.6,43,194,8.4,10.7,68,-,-,-,-,-,-,-,-,34,-,-,-
,KIA STINGER,53,247,1980,124.7,8.3,69,53,247,10.6,8.3,69,-,-,-,-,-,-,-,-,-,-,-,-
,LEXUS RC,16,268,1891.875,141.7,5.2,69.5625,16,268,11.6,5.2,69.5625,-,-,-,-,-,-,-,-,-,-,-,-
,MAZDA 6,2857,167.2,1536,108.9,11.8,67,2857,167.2,7.2,11.8,67,-,-,-,-,-,-,-,-,-,-,-,-
,MERCEDES C-KLASSE,27390,112.5,1875,60,9.4,68,142,210.1,9.1,15.9,70.9,76,150.6,5.7,21.2,68.7,1.8,-,-,27172,6704,-,-
,MERCEDES CLA-KLASSE,16825,129.4,1596,81.1,14.8,68.1,844,199.6,8.6,18.4,70.5,3278,136,5.1,17.7,68.5,0.9,-,-,12683,2364,5,15
,MG ROEWE 5,817,0,1634,0,0,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,817,-
,NIO ET5,120,0,2289,0,0,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,-
,PEUGEOT 408,2158,110,1644,66.9,28.6,67.5,1387,136.4,5.9,40,68,-,-,-,-,-,-,-,-,769,535,2,-
,PEUGEOT 508,2080,112.4,1750,64.2,36.3,67.9,669,137.1,5.9,37.5,69,901,136.6,5.2,53.1,67,0.2,-,-,510,510,-,-
,POLESTAR 2,2264,0,2178,0,0,67.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2264,-
,SKODA SUPERB,16817,141.7,1672,84.7,21.5,66.3,1860,165.8,7.1,20.4,68,10783,142.4,5.4,25.8,66.7,0.5,-,1,4173,2146,-,-
,TESLA MODEL 3,7012,0,1898,0,0,65.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7012,-
,VOLVO 60,7866,90,2046,44,14.2,67.7,-,-,-,-,-,2,151,5.7,43.3,71,0.6,-,-,7864,3700,-,-
,VW ARTEON,4985,159.5,1682,94.8,24.7,68,2451,176.1,7.6,21.3,68.2,2470,146.4,5.5,28.3,67.9,0.3,-,-,64,64,-,-
,VW PASSAT,47720,131.1,1647,79.6,21.2,66.1,3493,155.6,6.7,23.3,66.3,32244,134.6,5.1,24.5,66.8,0.5,-,1,11982,4073,-,-
,SONSTIGE,14,137.8,1636,84.3,18.7,69.5,1,-,-,-,82,13,137.8,5.2,18.7,68.5,1.5,-,-,-,-,-,-
MITTELKLASSE ZUSAMMEN,,253732,125,1757,71.1,16.8,67.3,42617,174.9,7.5,18.3,68.3,52595,137.6,5.2,26.3,67,0.5,1,2,134783,25825,23719,15
OBERE MITTELKLASSE,AUDI A6,25837,157.7,1968,80.2,18.6,68.2,20,269.1,11.6,-,68.9,7,192,7.2,67.3,69.4,0.5,-,-,25515,3921,295,-
,BMW 5ER,26669,80.4,2066,38.9,13.2,66.7,7,253,10.9,11.5,70.3,2,123,4.6,43.5,70,0.2,-,-,18811,4991,7849,-
,DS DS9,23,45.5,2042,22.3,10.2,69.4,1,153,6.6,24.2,67,-,-,-,-,-,-,-,-,22,22,-,-
,HYUNDAI G80,52,106.6,2200,48.5,21.9,68.52,26,213.2,9.2,35.3,69,-,-,-,-,-,-,-,-,-,-,26,-
,JAGUAR XF,126,160.8,1941,82.8,22.3,66.2,32,195.3,8.4,11.596875,66.84375,-,-,-,-,-,-,-,-,94,-,-,-
,LEXUS ES,344,121,1815,66.7,1.9,68,-,-,-,-,-,-,-,-,-,-,-,-,-,344,-,-,-
,MERCEDES CLE,7533,153.2,1942,78.9,13.9,68.2,9,-,-,-,68,-,-,-,-,-,-,-,-,7524,517,-,-
,MERCEDES E-KLASSE,33726,61.4,2220,27.7,8.6,67.1,43,279.3,12,27,69,261,149.9,5.7,25.6,68.2,0.4,-,-,24680,12048,8742,-
,SUBARU OUTBACK,1196,193,1746,110.5,7.7,67,1196,193,8.3,7.7,67,-,-,-,-,-,-,-,-,-,-,-,-
,TOYOTA CAMRY,48,126.725,1683,75.3,2,67,17,131.1,5.6,-,67,-,-,-,-,-,-,-,-,31,-,-,-
,TOYOTA MIRAI,148,0,2022,0,0,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148
,VOLVO 90,1960,84,2177,38.6,17.3,67.9,-,-,-,-,-,9,165.625,6.25,-,67.9,-,-,-,1951,1105,-,-
,VW ID.7,14554,0,2206,0,0,66.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14554,-
,XPENG P7,32,0,2178.75,0,0,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-
OBERE MITTELKLASSE ZUSAMMEN,,112248,88.1,2097,42,11.4,67.3,1351,196.3,8.5,9,67.1,279,150.48828125,5.7,26,68.2,0.4,-,-,78972,22604,31498,148
OBERKLASSE,AUDI A7,1630,184.3,2030,90.8,18.3,68.6,6,275,11.9,-,69,4,187.25,7.1,-,68.75,-,-,-,1620,259,-,-
,AUDI A8,1560,175.7,2216,79.3,15.7,67.9,19,263.5,11.4,-,67,8,-,-,-,66.25,-,-,-,1533,325,-,-
,AUDI E-TRON GT,1313,0,2383,0,0,68.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1313,-
,BENTLEY CONTINENTAL,459,248.4,2503,99.2,-,70.7,366,297.5,12.8,-,71.6,-,-,-,-,-,-,-,-,93,87,-,-
,BMW 6ER,11,168.2,2022,83.2,36.1,68.5,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-
,BMW 7ER,2917,80.3,2475,32.4,18.5,65.6,1,-,-,-,66,-,-,-,-,-,-,-,-,1894,621,1022,-
,BMW 8ER,1286,232.7,2051,113.4,17.2,69.8,1116,240.3,10.4,13,70.3,-,-,-,-,-,-,-,-,170,-,-,-
